net_amount
124550.19
111647.31
108552.22
107745.22
96136.26000000001
95653.19
95237.73
94230.63
93965.73
89469.25
85929.85
85860.28
84927.94
82740.55
79869.31999999999
79536.37
73921.77
72754.3
72245.42
71454.81
67970.7
66455.22
46574.92
36229.26
